	input	output	language
40	"Resolución de la
Corte Interamericana de Derechos Humanos
de 6 de agosto de 2008
Caso Goiburú y otros Vs. Paraguay
Supervisión de Cumplimiento de Sentencia

VISTOS:"	Paraguay	es
41	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 21 DE NOVIEMBRE DE 2007
MEDIDAS PROVISIONALES
ASUNTO DE LA FUNDACIÓN DE ANTROPOLOGÍA
FORENSE DE GUATEMALA
VISTOS:"	Guatemala	es
42	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 17 DE NOVIEMBRE DE 2021
CASO PERRONE Y PRECKEL VS. ARGENTINA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Argentina	es
43	"VOTO CONCURRENTE DE LOS JUECES DIEGO GARCÍA-SAYÁN, LEONARDO A.
FRANCO, MANUEL VENTURA ROBLES, MARGARETTE MAY MACAULAY Y
RHADYS ABREU BLONDET
MEDIDAS PROVISIONALES RESPECTO DE HONDURAS
CASO KAWAS FERNÁNDEZ

1."	Honduras	es
44	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS

DE 24 DE JUNIO DE 2015

CASOS DE LAS COMUNIDADES INDÍGENAS YAKYE AXA, SAWHOYAMAXA Y
XÁKMOK KÁSEK VS. PARAGUAY"	Paraguay	es
45	"Resolución de la
Corte Interamericana de Derechos Humanos
26 de Enero de 2009
Medidas Provisionales
respecto de la República Bolivariana de Venezuela
Asunto Carlos Nieto Palma y Otro
"	Venezuela	es
46	"INFORME Nº 45/98
CASO 11.855
ANTHONY GARCÍA
TRINIDAD Y TOBAGO
25 de septiembre de 1998
I.
"	Trinidad y Tobago	es
47	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO ROSADIO VILLAVICENCIO VS. PERÚ
SENTENCIA DE 8 DE OCTUBRE DE 2020
(Interpretación de la Sentencia de Excepciones Preliminares, Fondo,
Reparaciones y Costas)

En el caso Rosadio Villavicencio Vs. Perú,"	Perú	es
48	"INFORME No. 10/11
CASO 12.329
ADMISIBILIDAD
VICENTE ARIEL NOGUERA
PARAGUAY
22 de marzo de 2011
"	Paraguay	es
49	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 26 DE NOVIEMBRE DE 2013
CASO CESTI HURTADO VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Perú	es
50	"Corte Interamericana de Derechos Humanos
Caso Neira Alegría y otros Vs. Perú
Sentencia de 19 de septiembre de 1996
(Reparaciones y Costas)

En el caso Neira Alegría y otros,
la Corte Interamericana de Derechos Humanos, integrada por los siguientes jueces:"	Perú	es
51	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 26 DE JUNIO DE 2012
CASO MEJÍA IDROVO VS. ECUADOR
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Ecuador	es
52	"INFORME No. 17/15
PETICIÓN 1139-04
ADMISIBILIDAD
MASACRE DE LA ALDEA LOS JOSEFINOS
GUATEMALA
24 DE MARZO DE 2015
"	Guatemala	es
53	"INFORME No. 103/13
CASO 12.816
FONDO
ADAN GUILLERMO LOPEZ LONE Y OTROS
HONDURAS
5 de noviembre de 2013
"	Honduras	es
54	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 10 DE DICIEMBRE DE 2015
CASO HERRERA ESPINOZA Y OTROS VS. ECUADOR
CONVOCATORIA A AUDIENCIA
VISTO:
1."	Ecuador	es
55	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO HERRERA ESPINOZA Y OTROS VS. ECUADOR
SENTENCIA DE 1 DE SEPTIEMBRE DE 2016
(Excepciones Preliminares, Fondo, Reparaciones y Costas)

En el caso Herrera Espinoza y otros,
la Corte Interamericana de Derechos Humanos (en adelante también “la Corte"	Ecuador	es
56	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 17 DE NOVIEMBRE DE 2005
SOLICITUD DE MEDIDAS PROVISIONALES PRESENTADA POR
LA COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA FEDERATIVA DEL BRASIL
CASO DE LOS NIÑOS Y ADOLESCENTES PRIVADOS DE LIBERTAD"	Brasil	es
57	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS∗
DE 22 DE NOVIEMBRE DE 2019
CASO GARCÍA ASTO Y RAMÍREZ ROJAS VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Perú	es
58	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS

DE 18 DE JUNIO DE 2012

CASO DE LA MASACRE DE SANTO DOMINGO VS. COLOMBIA
"	Colombia	es
59	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS 
DE 3 DE MAYO DE 2016
CASO SALVADOR CHIRIBOGA VS. ECUADOR
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Ecuador	es
60	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 23 DE FEBRERO DE 2016
SOLICITUD DE MEDIDAS PROVISIONALES
CASO NADEGE DORZEMA Y OTROS VS. REPÚBLICA DOMINICANA
VISTOS:
1."	República Dominicana	es
61	"Corte Interamericana de Derechos Humanos
Caso Myrna Mack Chang Vs. Guatemala
Sentencia de 25 de noviembre de 2003
(Fondo, Reparaciones y Costas)

En el caso Myrna Mack Chang,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte”, “la Corte"	Guatemala	es
62	"INFORME No. 196/20
CASO 13.030
INFORME DE FONDO
SANTIAGO LEGUIZAMÓN ZAVÁN Y FAMILIA
PARAGUAY
10 DE JULIO DE 2020
I."	Paraguay	es
63	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 3 DE JULIO DE 2007

CASO DE LAS HERMANAS SERRANO CRUZ VS. EL SALVADOR
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
"	El Salvador	es
64	"INFORME No. 26/08 1
PETICIÓN 270-02
ADMISIBILIDAD
CÉSAR ALBERTO MENDOZA Y OTROS
ARGENTINA
14 de marzo de 2008
I."	Argentina	es
65	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 22 DE NOVIEMBRE DE 2019
CASO FLEURY Y OTROS VS. HAITÍ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Haití	es
66	"REF.:

Caso Nº 12.727
Antonio Tavares Pereira y otros
Brasil

6 de febrero de 2021"	Brasil	es
67	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 14 DE OCTUBRE DE 2021
MEDIDAS PROVISIONALES
ASUNTO INTEGRANTES DEL CENTRO NICARAGÜENSE DE DERECHOS HUMANOS Y
DE LA COMISIÓN PERMANENTE DE DERECHOS HUMANOS (CENIDH-CPDH)
RESPECTO DE NICARAGUA"	Nicaragua	es
68	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 16 DE OCTUBRE DE 2013
CASO RODRÍGUEZ VERA Y OTROS VS. COLOMBIA

VISTO:
1."	Colombia	es
69	"INFORME No. 73/17
CASO 12.984
FONDO
RAÚL ROLANDO ROMERO FERIS
ARGENTINA
5 DE JULIO DE 2017
"	Argentina	es
70	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS*
DE 28 DE ENERO DE 2021
CASO ROSADIO VILLAVICENCIO VS. PERÚ
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Perú	es
71	"INFORME No. 110/10
PETICIÓN 1560-07
ADMISIBILIDAD
CLAUDINA ISABEL VELASQUEZ PAIZ Y OTROS
GUATEMALA
4 de octubre de 2010
I."	Guatemala	es
72	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO MARTÍNEZ CORONADO VS. GUATEMALA
SENTENCIA DE 10 DE MAYO DE 2019
(Fondo, Reparaciones y Costas)

En el caso Martínez Coronado,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte Interamericana”, “la Corte” o"	Guatemala	es
73	"INFORME Nº 18/06 1
PETICIÓN 12.353
ADMISIBILIDAD
ARLEY JOSÉ ESCHER Y OTROS
(INTERCEPTACIÓN DE LÍNEAS TELEFÓNICAS DE ORGANIZACIONES SOCIALES)
BRASIL
2 de marzo de 2006"	Brasil	es
74	"CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO TIU TOJÍN VS. GUATEMALA
SENTENCIA DE 26 DE NOVIEMBRE DE 2008
(Fondo, Reparaciones y Costas)

En el caso Tiu Tojín,
la Corte Interamericana de Derechos Humanos (en adelante “la Corte"	Guatemala	es
75	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS *
DE 1 DE JUNIO DE 2020
CASO VALLE JARAMILLO Y OTROS VS. COLOMBIA
SUPERVISIÓN DE CUMPLIMIENTO DE SENTENCIA
VISTO:
1."	Colombia	es
76	"VOTO DISIDENTE DEL
JUEZ EDUARDO VIO GROSSI
A LA SENTENCIA DE 21 DE NOVIEMBRE DE 2019
DE LA CORTE INTERAMERICANA DE DERECHOS HUMANOS
EN EL CASO ASOCIACIÓN NACIONAL DE CESANTES Y JUBILADOS DE LA
SUPERINTENDENCIA NACIONAL DE ADMINISTRACIÓN TRIBUTARIA
(ANCEJUB-SUNAT) VS. PERÚ"	Perú	es
77	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
8 DE FEBRERO DE 2012
SUPERVISIÓN DE CUMPLIMIENTO DE LAS MEDIDAS DE REPARACIÓN
SOBRE ATENCIÓN MÉDICA Y PSICOLÓGICA ORDENADAS EN NUEVE
CASOS COLOMBIANOS1
CONVOCATORIA DE AUDIENCIA PRIVADA"	Colombia	es
78	"VOTO CONCURRENTE DEL
JUEZ EDUARDO FERRER MAC-GREGOR POISOT
Y DE LA JUEZA ELIZABETH ODIO BENITO
CASO DÍAZ LORETO Y OTROS VS. VENEZUELA
SENTENCIA DE 19 DE NOVIEMBRE DE 2019
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
"	Venezuela	es
79	"VOTO PARCIALMENTE DISIDENTE
DEL JUEZ ALBERTO PÉREZ PÉREZ
CASO GRANIER Y OTROS (RADIO CARACAS TELEVISIÓN) VS.
VENEZUELA
SENTENCIA DE 22 DE JUNIO DE 2015
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
1."	Venezuela	es
80	"VOTO DISIDENTE DEL JUEZ EDUARDO VIO GROSSI.
CORTE INTERAMERICANA DE DERECHOS HUMANOS
CASO ARTAVIA MURILLO Y OTROS
(“FECUNDACIÓN IN VITRO”) VS. COSTA RICA
SENTENCIA DE 28 DE NOVIEMBRE DE 2012
(Excepciones Preliminares, Fondo, Reparaciones y Costas)
INTRODUCCIÓN."	Costa Rica	es
81	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 2 DE DICIEMBRE DE 2003*
MEDIDAS PROVISIONALES
LILIANA ORTEGA Y OTRAS RESPECTO DE VENEZUELA
VISTOS:
1."	Venezuela	es
82	"Corte Interamericana de Derechos Humanos
Caso Raxcacó Reyes Vs. Guatemala
Sentencia de 15 de septiembre de 2005
(Fondo, Reparaciones y Costas)

En el caso Raxcacó Reyes,
La Corte Interamericana de Derechos Humanos (en adelante la Corte"", ""la Corte"""	Guatemala	es
83	"Corte Interamericana de Derechos Humanos
Caso Blake Vs. Guatemala

Sentencia de 2 de julio de 1996
(Excepciones Preliminares)

En el caso Blake,"	Guatemala	es
84	"INFORME No. 6/2020
CASO 12. 727
INFORME DE FONDO
ANTONIO TAVARES PEREIRA Y OTROS
BRASIL1
3 de marzo de 2020
"	Brasil	es
85	"Resolución de la Corte Interamericana de Derechos Humanos*
de 5 de febrero de 2008

Medidas Provisionales
respecto de la República de Colombia

Asunto Comunidades del Jiguamiandó y del Curbaradó"	Colombia	es
86	"5
INFORME No. 117/10
FONDO
CASO 12.343
EDGAR FERNANDO GARCIA
GUATEMALA
22 de octubre de 2010"	Guatemala	es
87	"INFORME No. 136/09
PETICIÓN 321-05
ADMISIBILIDAD
MARÍA INÉS CHINCHILLA SANDOVAL
GUATEMALA
13 de noviembre de 2009
"	Guatemala	es
88	"CORTE INTERAMERICANA DE DERECHOS HUMANOS

CASO GARZÓN GUZMÁN Y OTROS VS. ECUADOR

SENTENCIA DE 1 DE SEPTIEMBRE DE 2021
(Fondo, Reparaciones y Costas)
"	Ecuador	es
89	"INFORME No. 84/13
CASO 12.482
FONDO
VALDEMIR QUISPEALAYA VILCAPOMA
PERÚ
4 de noviembre de 2013
"	Perú	es
90	"INFORME No. 16/19
CASO 12.991
FONDO
MASACRE DE LA ALDEA LOS JOSEFINOS
GUATEMALA
12 DE FEBRERO DE 2019
"	Guatemala	es
91	"INFORME No. 148/18
CASO 12.997
FONDO
SANDRA CECILIA PAVEZ PAVEZ
CHILE 1
7 de diciembre de 2018
"	Chile	es
92	"5
INFORME No. 118/10
CASO 12.680
FONDO
RAFAEL ARTURO PACHECO TERUEL Y OTROS
(MUERTE POR INCENDIO EN EL CENTRO PENAL DE SAN PEDRO SULA)
HONDURAS"	Honduras	es
93	"RESOLUCIÓN DEL PRESIDENTE DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 21 DE AGOSTO DE 2007
MEDIDAS PROVISIONALES
ASUNTO DE LA FUNDACIÓN DE ANTROPOLOGÍA
FORENSE DE GUATEMALA
VISTOS:"	Guatemala	es
94	"Corte Interamericana de Derechos Humanos

Caso de los “Niños de la Calle” (Villagrán Morales y otros) Vs.
Guatemala

Sentencia de 26 de mayo de 2001
(Reparaciones y Costas)"	Guatemala	es
95	"Resolución de la
Corte Interamericana de Derechos Humanos*
de 17 de noviembre de 2009
Caso Montero Aranguren y otros (Retén de Catia) Vs. Venezuela
Supervisión de Cumplimiento de Sentencia
Visto:
1."	Venezuela	es
96	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 20 DE MAYO DE 2009
CASO COMUNIDAD INDÍGENA SAWHOYAMAXA VS. PARAGUAY
CONVOCATORIA A AUDIENCIA PÚBLICA
SUPERVISION DE CUMPLIMIENTO DE SENTENCIA
"	Paraguay	es
97	"RESOLUCIÓN DE LA PRESIDENTA DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 21 DE ABRIL DE 2021
CASO PROFESORES DE CHAÑARAL Y OTRAS MUNICIPALIDADES VS. CHILE
VISTO:
1.
El escrito de sometimiento del caso y el Informe de Fondo de la Comisión"	Chile	es
98	"29 de marzo de 2018
REF.:

Caso Nº 12.197
Ramón Rosendo Carranza Alarcón
Ecuador
"	Ecuador	es
99	"RESOLUCIÓN DE LA
CORTE INTERAMERICANA DE DERECHOS HUMANOS
DE 29 DE ENERO DE 1999
MEDIDAS PROVISIONALES SOLICITADAS POR LA
COMISIÓN INTERAMERICANA DE DERECHOS HUMANOS
RESPECTO DE LA REPÚBLICA DE COLOMBIA
CASO CLEMENTE TEHERÁN Y OTROS"	Colombia	es
