	input	output	language
76	"A/RES/71/154

Nations Unies

Distr. générale
21 décembre 2016
"	A/RES/71/154	en
77	"A/RES/71/128

Nations Unies

Distr. générale
25 janvier 2017
"	A/RES/71/128	en
78	"A/RES/62/78

Naciones Unidas

Distr. general
8 de enero de 2008
"	A/RES/62/78	en
79	"A/RES/55/77

United Nations

General Assembly

Distr.: General"	A/RES/55/77	en
80	"United Nations

General Assembly

A/RES/58/154
Distr.: General
24 February 2004"	A/RES/58/154	en
81	"A/RES/72/93

Naciones Unidas

Asamblea General

Distr. general"	A/RES/72/93	en
82	"A/HRC/RES/42/11

Nations Unies

Assemblée générale

Distr. générale"	A/HRC/RES/42/11	en
83	"A/RES/59/38

Naciones Unidas

Asamblea General

Distr. general"	A/RES/59/38	en
84	"A/HRC/RES/42/24

United Nations

General Assembly

Distr.: General"	A/HRC/RES/42/24	en
85	"A/HRC/RES/20/7

United Nations

General Assembly

Distr.: General"	A/HRC/RES/20/7	en
86	"A/RES/68/185

United Nations

Distr.: General
11 February 2014
"	A/RES/68/185	en
87	"A/RES/70/294

Nations Unies

Distr. générale
11 août 2016
"	A/RES/70/294	en
88	"A/RES/73/141

Naciones Unidas

Asamblea General

Distr. general"	A/RES/73/141	en
89	"A/RES/73/173

United Nations

General Assembly

Distr.: General"	A/RES/73/173	en
90	"Naciones Unidas

Asamblea General

A/RES/70/256
Distr. general
15 de abril de 2016"	A/RES/70/256	en
91	"A/RES/61/278

United Nations

Distr.: General
20 July 2007
"	A/RES/61/278	en
92	"A/RES/67/251

Nations Unies

Distr. générale
25 juillet 2013
"	A/RES/67/251	en
93	"United Nations

General Assembly

A/RES/62/10
Distr.: General
18 December 2007"	A/RES/62/10	en
94	"A/RES/69/41*

Naciones Unidas

Distr. general
11 de diciembre de 2014
"	A/RES/69/41	en
95	"A/HRC/28/56

United Nations

General Assembly

Distr.: General"	A/HRC/28/56	en
96	"A/HRC/RES/17/22

United Nations

General Assembly

Distr.: General"	A/HRC/RES/17/22	en
97	"A/RES/61/20

Naciones Unidas

Asamblea General

Distr. general"	A/RES/61/20	en
98	"A/RES/67/56*

United Nations

Distr.: General
4 January 2013
"	A/RES/67/56*	en
99	"United Nations

A/RES/67/55

General Assembly

Distr.: General"	A/RES/67/55	en
