	input	output	language
76	"A/RES/63/48

United Nations

Distr.: General
12 January 2009
"	2009	fr
77	"United Nations

General Assembly

A/RES/60/220
Distr.: General
31 March 2006"	2006	fr
78	"Naciones Unidas

Asamblea General

A/RES/61/210
Distr. general
6 de marzo de 2007"	2007	fr
79	"A/RES/71/47

United Nations

Distr.: General
12 December 2016
"	2016	fr
80	"Nations Unies

Assemblée générale

A/HRC/RES/36/9
Distr. générale
6 octobre 2017"	2017	fr
81	"A/RES/57/292

Nations Unies

Distr. générale
13 février 2003
"	2003	fr
82	"A/RES/68/94

Nations Unies

Distr. générale
17 décembre 2013
"	2013	fr
83	"A/RES/69/95

Nations Unies

Distr. générale
16 décembre 2014
"	2014	fr
84	"A/RES/63/190

United Nations

Distr.: General
24 February 2009
"	2009	fr
85	"A/RES/55/138

Nations Unies

Distr. générale
22 février 2001
"	2001	fr
86	"A/RES/71/270

Naciones Unidas

Distr. general
11 de enero de 2017
"	2017	fr
87	"A/RES/68/80

Naciones Unidas

Distr. general
16 de diciembre de 2013
"	2013	fr
88	"A/RES/63/84

Naciones Unidas

Distr. general
13 de enero de 2009
"	2009	fr
89	"United Nations

General Assembly

A/RES/61/219
Distr.: General
13 March 2007"	2007	fr
90	"A/RES/64/283

Nations Unies

Distr. générale
26 août 2010
"	2010	fr
91	"A/RES/69/17

Naciones Unidas

Distr. general
19 de diciembre de 2014
"	2014	fr
92	"A/RES/67/237

Nations Unies

Distr. générale
28 janvier 2013
"	2013	fr
93	"Naciones Unidas

Asamblea General

A/RES/58/10
Distr. general
19 de noviembre de 2003"	2003	fr
94	"A/RES/58/285

Naciones Unidas

Distr. general
26 de abril de 2004
"	2004	fr
95	"Nations Unies

A/RES/65/274
Distr. générale
28 juillet 2011

Assemblée générale"	2011	fr
96	"A/RES/58/125

Nations Unies

Distr. générale
17 février 2004
"	2004	fr
97	"Inter-American Convention on the Granting of Civil Rights to Women
(Signed at the Ninth International Conference of American States
Bogotá, Colombia, March 30-May 2, 1948)
The governments represented at the Ninth International Conference of American States,
Considering:
That the majority of the American Republics, inspired by lofty principles of justice, have
granted civil rights to women;"	1948	fr
98	"Nations Unies

Assemblée générale

A/RES/58/215
Distr. générale
27 février 2004"	2004	fr
99	"United Nations

General Assembly

A/RES/60/188
Distr.: General
17 February 2006"	2006	fr
